zip,totkbtu,avgkbtu,Total annual customers-Elec,Avg annual customers-Elec,Total annual customers-GAS,Avg annual customers- Gas,Actual Minm Customer Count
93930,197105924.7,50265.0267,47056,3921.333333,41538,3461.5,3921.333333
93932,7893740.476,29038.89813,3262,271.8333333,,0,271.8333333
93933,403539212.4,50582.02902,95735,7977.916667,92752,7729.333333,7977.916667
93940,703992946.9,52677.98242,160369,13364.08333,135644,11303.66667,13364.08333
93943,0,0,0,0,0,0,0
93950,403753630.9,55384.58586,87480,7290,81969,6830.75,7290
93953,306981943.5,113034.1615,32590,2715.833333,32145,2678.75,2715.833333
93954,2682036.72,24605.84147,1308,109,,0,109
93955,494102808.5,55391.65657,107042,8920.166667,103176,8598,8920.166667
93960,223315283.7,50439.18395,53129,4427.416667,48856,4071.333333,4427.416667
93962,16849668.12,62715.88632,3218,268.1666667,3224,268.6666667,268.6666667
94002,635842583.2,60122.22046,126910,10575.83333,112645,9387.083333,10575.83333
94005,97035269.83,52498.79342,22180,1848.333333,20499,1708.25,1848.333333
94010,1400712968,82584.74442,203531,16960.91667,172673,14389.41667,16960.91667
94014,669910574.4,49690.48642,161780,13481.66667,140127,11677.25,13481.66667
94015,965894136.8,52470.48276,220900,18408.33333,183156,15263,18408.33333
94018,109287742.4,58641.24973,22364,1863.666667,19549,1629.083333,1863.666667
94019,302114983.4,63490.65342,57101,4758.416667,48026,4002.166667,4758.416667
94020,17267183.46,26021.12289,7963,663.5833333,0,0,663.5833333
94021,0,0,0,0,,0,0
94022,744541982.6,101031.3321,88433,7369.416667,79405,6617.083333,7369.416667
94024,745772305.1,95523.04654,93687,7807.25,90706,7558.833333,7807.25
94025,1121208081,72602.99688,185316,15443,173974,14497.83333,15443
94027,529789037.4,218951.2484,29036,2419.666667,28354,2362.833333,2419.666667
94028,293561284,127179.1548,27699,2308.25,26858,2238.166667,2308.25
94030,489997302,58574.7492,100384,8365.333333,86620,7218.333333,8365.333333
94037,64136157.06,60577.24398,12705,1058.75,9323,776.9166667,1058.75
94038,56973135.17,55524.86169,12313,1026.083333,7173,597.75,1026.083333
94040,691603601.4,50744.99973,163548,13629,118165,9847.083333,13629
94041,296859064.8,47171.02686,75519,6293.25,62855,5237.916667,6293.25
94043,534602864.8,44650.70281,143676,11973,100674,8389.5,11973
94044,789383845.2,56126.64508,168772,14064.33333,150821,12568.41667,14064.33333
94060,13478710.21,24995.29014,6471,539.25,,0,539.25
94061,759679957.9,56575.02138,161134,13427.83333,146997,12249.75,13427.83333
94062,901852203.6,91690.47228,118030,9835.833333,103065,8588.75,9835.833333
94063,412215512.9,43895.13054,112691,9390.916667,82079,6839.916667,9390.916667
94065,256250348.6,50079.05449,61403,5116.916667,50525,4210.416667,5116.916667
94066,792065290.6,54055.12831,175835,14652.91667,136550,11379.16667,14652.91667
94070,786003429.6,65402.63603,144215,12017.91667,133519,11126.58333,12017.91667
94074,0,0,0,0,,0,0
94080,1060357827,51175.15915,248642,20720.16667,209129,17427.41667,20720.16667
94085,349001078.6,40399.09848,103666,8638.833333,66960,5580,8638.833333
94086,830124773.1,43871.26546,227062,18921.83333,146426,12202.16667,18921.83333
94087,1160739465,56709.72931,245617,20468.08333,205382,17115.16667,20468.08333
94089,288140228,57821.74846,59799,4983.25,40377,3364.75,4983.25
94102,435089215.4,35827.99627,145726,12143.83333,64788,5399,12143.83333
94103,405106089.1,30839.3795,157632,13136,70147,5845.583333,13136
94104,2851797.368,11588.7465,2953,246.0833333,0,0,246.0833333
94105,128943109.4,18460.00135,83820,6985,2310,192.5,6985
94107,425245375.8,30176.18941,169105,14092.08333,66551,5545.916667,14092.08333
94108,246581314.3,45117.3422,65584,5465.333333,42372,3531,5465.333333
94109,1338484257,48143.74078,333622,27801.83333,235818,19651.5,27801.83333
94110,1081098027,41730.09243,310883,25906.91667,267108,22259,25906.91667
94111,16696096.55,17150.58711,11682,973.5,0,0,973.5
94112,1105802337,58266.8232,227739,18978.25,221573,18464.41667,18978.25
94114,783589809.1,46475.11533,202325,16860.41667,173403,14450.25,16860.41667
94115,850292554.5,52407.66663,194695,16224.58333,129038,10753.16667,16224.58333
94116,762005657.7,55842.65906,163747,13645.58333,155526,12960.5,13645.58333
94117,859898818.3,46258.06168,223070,18589.16667,190302,15858.5,18589.16667
94118,897924951.3,51650.39794,208616,17384.66667,177485,14790.41667,17384.66667
94121,842035364.7,48379.1667,208859,17404.91667,178627,14885.58333,17404.91667
94122,1017039863,49062.4406,248754,20729.5,223842,18653.5,20729.5
94123,746783644.9,52956.49347,169222,14101.83333,142874,11906.16667,14101.83333
94124,502233051.7,54077.2075,111448,9287.333333,95796,7983,9287.333333
94127,504241397.3,73465.30969,82364,6863.666667,80529,6710.75,6863.666667
94129,70074278.14,107640.9802,0,0,7812,651,651
94130,0,0,0,0,,0,0
94131,624647208.7,51704.92581,144972,12081,121755,10146.25,12081
94132,518880983,60335.58267,103199,8599.916667,71989,5999.083333,8599.916667
94133,451790561.9,37800.94228,143422,11951.83333,91964,7663.666667,11951.83333
94134,536203682.7,55782.88477,115348,9612.333333,105544,8795.333333,9612.333333
94158,50930524.8,12246.1037,49907,4158.916667,0,0,4158.916667
94301,0,0,0,0,,0,0
94303,386936035.4,55954.69408,82982,6915.166667,68650,5720.833333,6915.166667
94305,134037062.2,146622.1282,10970,914.1666667,10255,854.5833333,914.1666667
